
  x              y             z     Side   Disk    Ring   Module
-0.539221      -7.06376      -174.4     1      9      1      15
-0.575128      -7.85823      -174.4     1      9      1      15
-0.742724      -9.60409      -174.4     1      9      1      15
-0.584082      -8.67313      -174.4     1      9      1      15
0.361778      -10.5633      -175.2     1      9      1      16
0.441762      -9.14167      -175.2     1      9      1      16
0.573692      -8.36055      -175.2     1      9      1      16
0.735048      -8.6512      -175.2     1      9      1      16
0.879249      -9.53865      -175.2     1      9      1      16
0.637627      -7.6713      -175.2     1      9      1      16
1.35959      -9.56394      -175.2     1      9      1      16
1.67532      -10.1221      -175.2     1      9      1      16
1.469      -8.45189      -175.2     1      9      1      16
1.94242      -10.1305      -175.2     1      9      1      16
2.11767      -9.79864      -175.2     1      9      1      16
1.76419      -7.08741      -175.2     1      9      1      16
1.97596      -8.11819      -175.2     1      9      1      16
2.07332      -6.97763      -175.2     1      9      1      16
2.86849      -7.57137      -175.2     1      9      1      16
2.66097      -6.05338      -175.2     1      9      1      16
1.75574      -7.04875      -174.4     1      9      1      17
2.79319      -8.79922      -174.4     1      9      1      17
2.06456      -6.94571      -174.4     1      9      1      17
2.82442      -7.70463      -174.4     1      9      1      17
3.27789      -7.91179      -174.4     1      9      1      17
2.72273      -6.01989      -174.4     1      9      1      17
3.26233      -6.25676      -174.4     1      9      1      17
4.41009      -6.51152      -174.4     1      9      1      17
4.42179      -6.5087      -174.4     1      9      1      17
4.16502      -5.86424      -174.4     1      9      1      17
4.47307      -6.44886      -174.4     1      9      1      17
5.00381      -7.35692      -174.4     1      9      1      17
5.02955      -7.38422      -175.2     1      9      1      18
4.42857      -6.54105      -175.2     1      9      1      18
4.44272      -6.54106      -175.2     1      9      1      18
4.45863      -6.52515      -175.2     1      9      1      18
4.50105      -6.48272      -175.2     1      9      1      18
4.18764      -5.89      -175.2     1      9      1      18
7.35516      -7.64331      -175.2     1      9      1      18
5.16158      -4.74615      -175.2     1      9      1      18
5.80526      -4.47059      -175.2     1      9      1      18
6.37678      -4.81937      -175.2     1      9      1      18
5.88245      -4.59236      -174.4     1      9      1      19
6.35328      -4.79298      -174.4     1      9      1      19
8.23247      -5.05221      -174.4     1      9      1      19
7.06857      -4.13893      -174.4     1      9      1      19
6.75071      -3.88685      -174.4     1      9      1      19
7.47198      -4.00875      -174.4     1      9      1      19
7.92516      -3.86912      -174.4     1      9      1      19
6.20146      -2.83373      -174.4     1      9      1      19
9.59369      -4.31023      -174.4     1      9      1      19
6.10452      -2.3703      -174.4     1      9      1      19
8.25476      -3.04581      -174.4     1      9      1      19
7.24352      -2.51652      -174.4     1      9      1      19
7.83617      -2.36779      -174.4     1      9      1      19
7.2668      -1.91953      -174.4     1      9      1      19
6.15338      -2.41357      -175.2     1      9      1      20
7.28053      -2.52881      -175.2     1      9      1      20
9.37673      -2.79754      -175.2     1      9      1      20
7.87083      -2.38571      -175.2     1      9      1      20
7.30439      -1.93017      -175.2     1      9      1      20
7.32878      -0.697381      -175.2     1      9      1      20
7.37698      -0.70393      -175.2     1      9      1      20
6.40676      -0.10984      -175.2     1      9      1      20
7.4715      -0.23515      -175.2     1      9      1      20
10.6023      2.81603      -174.8     1      9      2      1
12.8065      2.92446      -174.8     1      9      2      1
11.1021      2.31431      -174.8     1      9      2      1
10.3367      2.22256      -174.8     1      9      2      1
13.4378      2.41851      -174.8     1      9      2      1
10.3454      1.7405      -174.8     1      9      2      1
10.1855      1.69949      -174.8     1      9      2      1
13.0881      5.79612      -175.6     1      9      2      2
11.9011      3.53083      -175.6     1      9      2      2
10.6456      2.82446      -175.6     1      9      2      2
10.3879      2.22709      -175.6     1      9      2      2
11.1422      2.2541      -175.6     1      9      2      2
10.1235      1.80069      -175.6     1      9      2      2
8.66168      6.34681      -174.8     1      9      2      3
10.0042      7.16446      -174.8     1      9      2      3
11.219      6.13446      -174.8     1      9      2      3
6.29777      8.02834      -175.6     1      9      2      4
6.4694      8.12572      -175.6     1      9      2      4
7.79823      8.94897      -175.6     1      9      2      4
8.50311      7.89432      -175.6     1      9      2      4
10.4466      9.78358      -175.6     1      9      2      4
8.66835      6.7621      -175.6     1      9      2      4
8.42491      11.5235      -174.8     1      9      2      5
6.26332      8.0047      -174.8     1      9      2      5
6.43314      8.099      -174.8     1      9      2      5
1.76666      10.0611      -175.6     1      9      2      6
2.14468      10.9696      -175.6     1      9      2      6
3.63404      13.1519      -175.6     1      9      2      6
4.02845      12.7487      -175.6     1      9      2      6
3.22758      10.4197      -175.6     1      9      2      6
3.15768      9.75471      -175.6     1      9      2      6
4.64881      12.1604      -175.6     1      9      2      6
5.43984      12.4917      -175.6     1      9      2      6
0.0849051      12.8444      -174.8     1      9      2      7
0.376237      12.9526      -174.8     1      9      2      7
0.571371      11.6914      -174.8     1      9      2      7
1.75628      10.0164      -174.8     1      9      2      7
1.91741      9.92116      -174.8     1      9      2      7
2.30498      13.0174      -174.8     1      9      2      7
2.13244      10.9211      -174.8     1      9      2      7
-1.69629      11.4941      -175.6     1      9      2      8
-1.11239      12.91      -175.6     1      9      2      8
-0.1416      12.6969      -175.6     1      9      2      8
0.0820973      12.9035      -175.6     1      9      2      8
-5.05672      13.4559      -174.8     1      9      2      9
-3.82499      10.5792      -174.8     1      9      2      9
-3.45611      13.4157      -174.8     1      9      2      9
-5.8777      9.09832      -175.6     1      9      2      10
-7.76682      6.82978      -174.8     1      9      2      11
-7.4737      7.05062      -174.8     1      9      2      11
-7.26356      7.48454      -174.8     1      9      2      11
-7.60336      8.49255      -174.8     1      9      2      11
-9.90726      4.85374      -175.6     1      9      2      12
-10.5865      5.33455      -175.6     1      9      2      12
-11.0689      6.69153      -175.6     1      9      2      12
-10.9066      7.32786      -175.6     1      9      2      12
-8.22754      6.02158      -175.6     1      9      2      12
-7.97394      6.90449      -175.6     1      9      2      12
-10.5093      2.0319      -174.8     1      9      2      13
-10.8765      2.86164      -174.8     1      9      2      13
-9.85901      4.86022      -174.8     1      9      2      13
-10.4054      5.42047      -174.8     1      9      2      13
-12.6089      0.118389      -175.6     1      9      2      14
-11.5644      0.0891701      -175.6     1      9      2      14
-10.63      0.781403      -175.6     1      9      2      14
-10.0286      1.29096      -175.6     1      9      2      14
-10.5365      1.96956      -175.6     1      9      2      14
-10.9242      2.86127      -175.6     1      9      2      14
-13.4626      -2.46659      -174.8     1      9      2      15
-10.4315      -1.91796      -174.8     1      9      2      15
-11.6224      -1.27305      -174.8     1      9      2      15
-13.9258      -1.21737      -174.8     1      9      2      15
-12.5121      -0.709114      -174.8     1      9      2      15
-11.5152      0.100092      -174.8     1      9      2      15
-12.7085      0.229411      -174.8     1      9      2      15
-9.71576      -4.91598      -175.6     1      9      2      16
-10.3638      -3.78134      -175.6     1      9      2      16
-13.5817      -4.66525      -175.6     1      9      2      16
-13.6057      -4.65135      -175.6     1      9      2      16
-9.80158      -2.61786      -175.6     1      9      2      16
-12.3433      -3.26926      -175.6     1      9      2      16
-10.4869      -1.91382      -175.6     1      9      2      16
-11.0791      -8.29527      -174.8     1      9      2      17
-9.81567      -7.31404      -174.8     1      9      2      17
-9.35237      -6.64006      -174.8     1      9      2      17
-11.0018      -7.28931      -174.8     1      9      2      17
-10.473      -6.04499      -174.8     1      9      2      17
-9.64677      -5.32185      -174.8     1      9      2      17
-9.83145      -5.06847      -174.8     1      9      2      17
-12.223      -6.0984      -174.8     1      9      2      17
-8.01274      -9.78219      -175.6     1      9      2      18
-6.33559      -8.06132      -175.6     1      9      2      18
-6.33543      -8.04732      -175.6     1      9      2      18
-6.33314      -8.02129      -175.6     1      9      2      18
-9.02692      -10.1175      -175.6     1      9      2      18
-7.43797      -7.89339      -175.6     1      9      2      18
-7.36777      -7.82201      -175.6     1      9      2      18
-6.29602      -7.99598      -174.8     1      9      2      19
-8.03763      -9.81031      -174.8     1      9      2      19
-2.24557      -9.96781      -175.6     1      9      2      20
-2.57534      -10.8388      -175.6     1      9      2      20
-4.1669      -11.1876      -175.6     1      9      2      20
-3.81476      -9.69449      -175.6     1      9      2      20
-4.16343      -9.22247      -175.6     1      9      2      20
-5.9161      -12.977      -175.6     1      9      2      20
0.246563      -10.5645      -174.8     1      9      2      21
-2.02892      -12.4138      -174.8     1      9      2      21
-2.22011      -10.1746      -174.8     1      9      2      21
-2.44705      -11.0339      -174.8     1      9      2      21
1.93162      -10.1478      -175.6     1      9      2      22
1.70357      -10.0627      -175.6     1      9      2      22
1.29796      -11.1965      -175.6     1      9      2      22
0.979892      -13.5294      -175.6     1      9      2      22
0.475822      -10.5536      -175.6     1      9      2      22
5.27994      -11.4304      -174.8     1      9      2      23
4.52615      -13.287      -174.8     1      9      2      23
1.95236      -10.1022      -174.8     1      9      2      23
6.42687      -11.1653      -175.6     1      9      2      24
5.53856      -10.612      -175.6     1      9      2      24
9.66759      -7.57279      -174.8     1      9      2      25
9.20338      -7.23233      -174.8     1      9      2      25
8.55144      -6.75362      -174.8     1      9      2      25
10.4268      -9.30782      -174.8     1      9      2      25
9.34127      -8.80761      -174.8     1      9      2      25
8.52311      -8.46478      -174.8     1      9      2      25
7.61693      -7.91029      -174.8     1      9      2      25
7.83928      -9.0495      -174.8     1      9      2      25
8.59846      -6.78611      -175.6     1      9      2      26
9.56959      -7.40728      -175.6     1      9      2      26
9.23406      -7.27997      -175.6     1      9      2      26
10.7767      -2.26785      -174.8     1      9      2      27
12.2484      -4.48837      -174.8     1      9      2      27
12.0599      -4.57235      -174.8     1      9      2      27
9.78759      -4.09435      -174.8     1      9      2      27
14.3779      -0.78105      -175.6     1      9      2      28
13.9458      -2.2016      -175.6     1      9      2      28
10.8233      -2.28529      -175.6     1      9      2      28
14.1361      -3.10609      -175.6     1      9      2      28
15.8923      0.00596213      -174.4     1      9      3      1
17.2637      2.02136      -174.4     1      9      3      1
17.0342      3.03637      -174.4     1      9      3      1
17.6076      3.22599      -174.4     1      9      3      1
17.6773      3.16742      -175.2     1      9      3      2
17.019      3.76758      -175.2     1      9      3      2
16.0901      5.4363      -175.2     1      9      3      2
16.2732      6.7101      -174.4     1      9      3      3
13.862      10.267      -175.2     1      9      3      4
14.4147      10.8566      -175.2     1      9      3      4
12.4013      9.45815      -175.2     1      9      3      4
13.7956      11.0774      -175.2     1      9      3      4
11.8119      10.3323      -175.2     1      9      3      4
11.7735      10.277      -174.4     1      9      3      5
10.3568      9.72571      -174.4     1      9      3      5
11.5691      11.6849      -174.4     1      9      3      5
10.1747      11.4086      -174.4     1      9      3      5
9.01526      11.407      -174.4     1      9      3      5
9.16766      11.2585      -175.2     1      9      3      6
9.08065      11.4539      -175.2     1      9      3      6
8.69051      11.7668      -175.2     1      9      3      6
8.99783      14.6979      -175.2     1      9      3      6
8.28816      15.4656      -174.4     1      9      3      7
2.25952      16.5996      -174.4     1      9      3      9
